date,food_item,category,customers_count,quantity_prepared,quantity_sold,quantity_wasted,selling_price,discount,temperature,rainfall,is_weekend,is_holiday,is_exam_day,ingredient_cost,revenue,day_of_week,month,lag_1_sales,rolling_7_sales_avg
2025-01-01,Chicken Biryani,Main Course,357,161,153,8,220,10.0,24.4,0.1,0,0,0,95,30294.0,2,1,153.0,153.0
2025-01-02,Chicken Biryani,Main Course,334,135,119,16,220,0.0,31.6,0.0,0,0,0,95,26180.0,3,1,153.0,153.0
2025-01-03,Chicken Biryani,Main Course,319,117,98,19,220,0.0,34.1,0.0,0,0,0,95,21560.0,4,1,119.0,136.0
2025-01-04,Chicken Biryani,Main Course,421,212,200,12,220,10.0,26.4,0.0,1,0,0,95,39600.0,5,1,98.0,123.33333333333333
2025-01-05,Chicken Biryani,Main Course,420,197,185,12,220,5.0,24.5,0.0,1,0,0,95,38665.0,6,1,200.0,142.5
2025-01-06,Chicken Biryani,Main Course,336,120,111,9,220,5.0,28.5,0.0,0,0,0,95,23199.0,0,1,185.0,151.0
2025-01-07,Chicken Biryani,Main Course,341,122,113,9,220,10.0,26.5,0.8,0,0,0,95,22374.0,1,1,111.0,144.33333333333334
2025-01-08,Chicken Biryani,Main Course,333,135,114,21,220,0.0,21.6,1.4,0,0,0,95,25080.0,2,1,113.0,139.85714285714286
2025-01-09,Chicken Biryani,Main Course,335,133,123,10,220,5.0,25.0,1.3,0,0,0,95,25707.0,3,1,114.0,134.28571428571428
2025-01-10,Chicken Biryani,Main Course,309,126,107,19,220,0.0,32.8,0.0,0,0,0,95,23540.0,4,1,123.0,134.85714285714286
2025-01-11,Chicken Biryani,Main Course,419,207,191,16,220,5.0,30.9,0.0,1,0,0,95,39919.0,5,1,107.0,136.14285714285714
2025-01-12,Chicken Biryani,Main Course,443,236,204,32,220,0.0,28.8,0.0,1,0,0,95,44880.0,6,1,191.0,134.85714285714286
2025-01-13,Chicken Biryani,Main Course,341,140,122,18,220,0.0,35.2,0.0,0,0,0,95,26840.0,0,1,204.0,137.57142857142858
2025-01-14,Chicken Biryani,Main Course,362,188,164,24,220,5.0,27.0,0.0,0,0,0,95,34276.0,1,1,122.0,139.14285714285714
2025-01-15,Chicken Biryani,Main Course,391,157,148,9,220,5.0,25.5,0.0,0,1,0,95,30932.0,2,1,164.0,146.42857142857142
2025-01-16,Chicken Biryani,Main Course,412,159,148,11,220,0.0,21.7,0.0,0,1,0,95,32560.0,3,1,148.0,151.28571428571428
2025-01-17,Chicken Biryani,Main Course,396,147,133,14,220,0.0,28.8,1.0,0,0,0,95,29260.0,4,1,148.0,154.85714285714286
2025-01-18,Chicken Biryani,Main Course,402,210,188,22,220,5.0,27.0,0.0,1,0,0,95,39292.0,5,1,133.0,158.57142857142858
2025-01-19,Chicken Biryani,Main Course,521,272,233,39,220,5.0,27.1,1.8,1,1,0,95,48697.0,6,1,188.0,158.14285714285714
2025-01-20,Chicken Biryani,Main Course,382,155,131,24,220,0.0,27.8,0.0,0,0,0,95,28820.0,0,1,233.0,162.28571428571428
2025-01-21,Chicken Biryani,Main Course,349,124,117,7,220,0.0,26.5,0.0,0,0,0,95,25740.0,1,1,131.0,163.57142857142858
2025-01-22,Chicken Biryani,Main Course,332,136,120,16,220,5.0,27.6,0.0,0,0,0,95,25080.0,2,1,117.0,156.85714285714286
2025-01-23,Chicken Biryani,Main Course,361,148,124,24,220,0.0,28.3,0.0,0,0,0,95,27280.0,3,1,120.0,152.85714285714286
